date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:37:45	39826/39826	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Aug%202016%2021:02:29%20GMT	http://themes.pixelwars.org/bookcard/images/site/stamp-image.png	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/site/stamp-image.png	(from http://themes.pixelwars.org/bookcard/)
02:37:45	10364/10364	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Aug%202016%2021:02:35%20GMT	http://themes.pixelwars.org/bookcard/js/jquery.address-1.5.min.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/jquery.address-1.5.min.js	(from http://themes.pixelwars.org/bookcard/)
02:37:46	5524/5524	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Jul%202017%2018:20:46%20GMT	http://themes.pixelwars.org/bookcard/js/antiscroll.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/antiscroll.js	(from http://themes.pixelwars.org/bookcard/)
02:37:46	1068/1068	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Aug%202016%2021:02:38%20GMT	http://themes.pixelwars.org/bookcard/js/jquery.fittext.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/jquery.fittext.js	(from http://themes.pixelwars.org/bookcard/)
02:37:47	1042/1042	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Aug%202016%2021:02:39%20GMT	http://themes.pixelwars.org/bookcard/js/jquery.imagesloaded.min.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/jquery.imagesloaded.min.js	(from http://themes.pixelwars.org/bookcard/)
02:37:49	2106/2106	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Aug%202016%2021:02:38%20GMT	http://themes.pixelwars.org/bookcard/js/jquery.fitvids.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/jquery.fitvids.js	(from http://themes.pixelwars.org/bookcard/)
02:37:49	40847/40847	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Jul%202017%2018:20:58%20GMT	http://themes.pixelwars.org/bookcard/js/jquery.isotope.min.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/jquery.isotope.min.js	(from http://themes.pixelwars.org/bookcard/)
02:37:49	93636/93636	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Aug%202016%2021:02:37%20GMT	http://themes.pixelwars.org/bookcard/js/jquery-1.8.3.min.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/jquery-1.8.3.min.js	(from http://themes.pixelwars.org/bookcard/)
02:37:50	20886/20886	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Aug%202016%2021:02:40%20GMT	http://themes.pixelwars.org/bookcard/js/jquery.validate.min.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/jquery.validate.min.js	(from http://themes.pixelwars.org/bookcard/)
02:37:50	1083/1083	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Aug%202016%2021:02:43%20GMT	http://themes.pixelwars.org/bookcard/js/send-mail.js	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/js/send-mail.js	(from http://themes.pixelwars.org/bookcard/)
